【经文资讯】大正新修大藏经 第四册 No. 199《佛五百弟子自说本起经》
【版本记录】CBETA 电子佛典 V1.0 (Big5) 普及版，完成日期：1999/12/10
【编辑说明】本资料库由中华电子佛典协会（CBETA）依大正新修大藏经所编辑
【原始资料】萧镇国大德提供，维习安大德提供之高丽藏 CD 经文，北美某大德提供
【其它事项】本资料库可自由免费流通，详细内容请参阅【中华电子佛典协会资料库基本介绍】(http://ccbs.ntu.edu.tw/cbeta/result/cbintr.htm)
=========================================================================
# Taisho Tripitaka Vol. 4, No. 199 佛五百弟子自说本起经
# CBETA Chinese Electronic Tripitaka V1.0 (Big5) Normalized Version, Release Date: 1999/12/10
# Distributor: Chinese Buddhist Electronic Text Association (CBETA)
# Source material obtained from: Text as provided by Mr. Hsiao Chen-Kuo, Tripitaka Koreana as provided by Mr. Christian Wittern, Text as provided by Anonymous, USA
# Distributed free of charge. For details please read at http://ccbs.ntu.edu.tw/cbeta/result/cbintr_e.htm
=========================================================================
T04n0199_p0190a01┃
T04n0199_p0190a02┃　　No. 199
T04n0199_p0194c21┃　欣喜广大心　　便自发愿言
T04n0199_p0194c22┃　令我逮如是　　常与尊者俱
T04n0199_p0194c23┃　如此道人法　　所逮得法身
T04n0199_p0194c24┃　令我身如是　　疾成正愿义
T04n0199_p0194c25┃　所施无形色　　其气亦秽恶
T04n0199_p0194c26┃　无香亦无味　　我所施如是
T04n0199_p0194c27┃　所作德少耳　　获福安无极
T04n0199_p0194c28┃　在天上人间　　其福自然见
T04n0199_p0194c29┃　於是最後世　　还得于人身
T04n0199_p0195a01┃　值见等正觉　　道师无有上
T04n0199_p0195a02┃　我本所求愿　　见世尊上人
T04n0199_p0195a03┃　於是悉如意　　清凉得灭度
T04n0199_p0195a04┃　於是悉识知　　本所作功德
T04n0199_p0195a05┃　悉获其果实　　可意欢喜受
T04n0199_p0195a06┃　如是彼大尊　　名[酉*且]罗大通
T04n0199_p0195a07┃　於阿耨达池　　自说本所作
T04n0199_p0195a08┃　　优为迦叶品第十五(八偈)
T04n0199_p0195a09┃　导师有二人　　同类悉兄弟
T04n0199_p0195a10┃　见迦叶佛塔　　唐突崩坏落
T04n0199_p0195a11┃　合集众贾人　　更补治起塔
T04n0199_p0195a12┃　时兄弟二人　　俱扶竖刹柱
T04n0199_p0195a13┃　缘是功德本　　生天上甚久
T04n0199_p0195a14┃　来还生人间　　在於势族种
T04n0199_p0195a15┃　未见等正觉　　舍家学异道
T04n0199_p0195a16┃　在泥莲水边　　久习编发志
T04n0199_p0195a17┃　世尊无等伦　　愍念哀我等
T04n0199_p0195a18┃　在於恒水侧　　感动见变化
T04n0199_p0195a19┃　我等见变化　　从佛求下发
T04n0199_p0195a20┃　大尊念愍伤　　听我等出家
T04n0199_p0195a21┃　供养佛塔寺　　前稽首作礼
T04n0199_p0195a22┃　用是众庶等　　清凉而灭度
T04n0199_p0195a23┃　优为迦叶尊　　及江河迦叶
T04n0199_p0195a24┃　於阿耨达池　　自说本所作
T04n0199_p0195a25┃　　迦耶品第十六(捉取十五偈)
T04n0199_p0195a26┃　昔为卖香者　　既获香卖之
T04n0199_p0195a27┃　有一童女人　　来到香肆上
T04n0199_p0195a28┃　容貌端正好　　见彼趣我所
T04n0199_p0195a29┃　适捉与调戏　　欲意察著之
T04n0199_p0195b01┃　身亦不犯触　　亦不与合会
T04n0199_p0195b02┃　唯但执其臂　　为娆他女人
T04n0199_p0195b03┃　用是过恶故　　寿终堕地狱
T04n0199_p0195b04┃　来还得人身　　右臂自然枯
T04n0199_p0195b05┃　如是五百世　　所生处皆然
T04n0199_p0195b06┃　右臂常枯槁　　苦痛甚不便
T04n0199_p0195b07┃　仁者识念是　　作罪薄少耳
T04n0199_p0195b08┃　获殃甚众多　　善恶不可离
T04n0199_p0195b09┃　值见等正觉　　舍家为沙门
T04n0199_p0195b10┃　已得阿罗汉　　清凉入灭度
T04n0199_p0195b11┃　仁者吾於是　　有神足自在
T04n0199_p0195b12┃　於今一右臂　　不如左臂便
T04n0199_p0195b13┃　假使有男子　　喜犯他人者
T04n0199_p0195b14┃　寿终堕地狱　　苦痛甚酷毒
T04n0199_p0195b15┃　不当外犯色　　如捐弃盛火
T04n0199_p0195b16┃　智者觉了人　　已每知止足
T04n0199_p0195b17┃　设见他妇女　　当作不净观
T04n0199_p0195b18┃　我更泥犁中　　受苦不可计
T04n0199_p0195b19┃　我犯是罪时　　自谓不足言
T04n0199_p0195b20┃　悉获是果实　　罪福不可离
T04n0199_p0195b21┃　值见等正觉　　导师无有上
T04n0199_p0195b22┃　已得无所著　　清凉得灭度
T04n0199_p0195b23┃　是为最後生　　逮得甘露句
T04n0199_p0195b24┃　已解一切苦　　清凉得灭度
T04n0199_p0195b25┃　迦耶尊如是　　在比丘僧中
T04n0199_p0195b26┃　於阿耨达池　　自说本所作
T04n0199_p0195b27┃　　树提衢品第十七(三十偈)
T04n0199_p0195b28┃　惟卫佛世尊　　盘头摩国城
T04n0199_p0195b29┃　时有富长者　　名阿能乾那
T04n0199_p0195c01┃　时佛之眷属　　六十二百千
T04n0199_p0195c02┃　请惟卫佛尊　　及众供三月
T04n0199_p0195c03┃　我主盘头摩　　我供人中尊
T04n0199_p0195c04┃　饭食日珍异　　供养佛弟子
T04n0199_p0195c05┃　饭食佛如是　　在盘头摩国
T04n0199_p0195c06┃　彼时最後施　　盘头王欲兴
T04n0199_p0195c07┃　供养好饭食　　衣被及床卧
T04n0199_p0195c08┃　作微妙祠坛　　是王之所起
T04n0199_p0195c09┃　奉上诸所安　　床座众百千
T04n0199_p0195c10┃　於一一比丘　　惠施令可意
T04n0199_p0195c11┃　彼国王最後　　所供养如是
T04n0199_p0195c12┃　奉事无极雄　　神通尊导师
T04n0199_p0195c13┃　我时见彼供　　床卧诸所安
T04n0199_p0195c14┃　衣被饮食施　　床座悉具足
T04n0199_p0195c15┃　时诸天中尊　　帝释来诣我
T04n0199_p0195c16┃　彼天帝谓我　　我当为汝伴
T04n0199_p0195c17┃　即时化祠坛　　可意严如天
T04n0199_p0195c18┃　施设天上座　　供以天饮食
T04n0199_p0195c19┃　彼时佛世尊　　惟卫无等人
T04n0199_p0195c20┃　请供满一月　　尊人及弟子
T04n0199_p0195c21┃　我以天饮食　　供养於导师
T04n0199_p0195c22┃　奉以天衣被　　大人并弟子
T04n0199_p0195c23┃　用是功德故　　受恩不可量
T04n0199_p0195c24┃　从九十一劫　　未曾归恶道
T04n0199_p0195c25┃　所作福照见　　天上及世间
T04n0199_p0195c26┃　我奉侍大圣　　惟卫无极尊
T04n0199_p0195c27┃　於今最後世　　生罗阅只城
T04n0199_p0195c28┃　蓱沙王之宫　　富家无量宝
T04n0199_p0195c29┃　为蓱沙国王　　一切所爱敬
T04n0199_p0196a01┃　众人见供奉　　诸臣及人民
T04n0199_p0196a02┃　我在天伎乐　　於是世自恣
T04n0199_p0196a03┃　生世得人身　　天伎乐自娱
T04n0199_p0196a04┃　於是佛大智　　导师无有上
T04n0199_p0196a05┃　来诣罗阅只　　导师加愍伤
T04n0199_p0196a06┃　我闻大智慧　　佛诣王舍城
T04n0199_p0196a07┃　心欢喜踊跃　　往诣仁世尊
T04n0199_p0196a08┃　遥见世光[火*佥]　　光明出普照
T04n0199_p0196a09┃　即从车乘下　　步行往诣佛
T04n0199_p0196a10┃　欣然我前行　　稽首最胜足
T04n0199_p0196a11┃　礼如来毕竟　　却在一面坐
T04n0199_p0196a12┃　我久思正雄　　今乃见大人
T04n0199_p0196a13┃　导师人中明　　降伏魔罗网
T04n0199_p0196a14┃　世尊无有上　　应时愍伤我
T04n0199_p0196a15┃　解说四谛事　　如应为讲本
T04n0199_p0196a16┃　彼曰无极哀　　世尊说如是
T04n0199_p0196a17┃　大通欲出家　　愿得受大戒
T04n0199_p0196a18┃　即时大智慧　　佛者无等伦
T04n0199_p0196a19┃　说言比丘来　　具足成沙门
T04n0199_p0196a20┃　以是无放逸　　坚精进定意
T04n0199_p0196a21┃　遭遇甘露处　　无为兴无动
T04n0199_p0196a22┃　逮见等正觉　　导师无有上
T04n0199_p0196a23┃　以成阿罗汉　　清凉而灭度
T04n0199_p0196a24┃　唯仁我追念　　身本所作恶
T04n0199_p0196a25┃　悉受是果实　　可意乐安隐
T04n0199_p0196a26┃　广行有周旋　　离生老病死
T04n0199_p0196a27┃　脱於一切恼　　愁忧及啼哭
T04n0199_p0196a28┃　如是树提尊　　在比丘僧中
T04n0199_p0196a29┃　於阿耨达池　　自说本所作
T04n0199_p0196b01┃　　赖吒和罗品第十八(二十六偈)
T04n0199_p0196b02┃　有王修惟尼　　其王有一子
T04n0199_p0196b03┃　名赖吒拔檀　　是王最小子
T04n0199_p0196b04┃　迦叶佛吉祥　　兴起大塔寺
T04n0199_p0196b05┃　欲护父王意　　为作刹柱头
T04n0199_p0196b06┃　心欢喜踊跃　　建立承露盘
T04n0199_p0196b07┃　愿我作沙门　　等正觉共会
T04n0199_p0196b08┃　用是功德故　　世世所生处
T04n0199_p0196b09┃　於天上人间　　其德自然见
T04n0199_p0196b10┃　是为最後生　　在投楼吒国
T04n0199_p0196b11┃　生於尊者家　　独有一女耳
T04n0199_p0196b12┃　一切所爱敬　　如是狗猎王
T04n0199_p0196b13┃　是我亲里家　　国土亦如是
T04n0199_p0196b14┃　端正甚姝好　　颜貌如敷逾
T04n0199_p0196b15┃　在人中娱乐　　一切欲自恣
T04n0199_p0196b16┃　可意敬世尊　　来诣投楼吒
T04n0199_p0196b17┃　我见心欢喜　　便求作沙门
T04n0199_p0196b18┃　本功德所致　　化变难比伦
T04n0199_p0196b19┃　慈哀愍伤我　　口便发是言
T04n0199_p0196b20┃　诸佛之正教　　父母不乐者
T04n0199_p0196b21┃　不得为沙门　　族姓子自报
T04n0199_p0196b22┃　即时还归家　　前白父母言
T04n0199_p0196b23┃　父母愿听我　　出家为沙门
T04n0199_p0196b24┃　父母闻我言　　愁忧不可胜
T04n0199_p0196b25┃　子虽命时终　　不欲相远离
T04n0199_p0196b26┃　我时不饮食　　一心无所乐
T04n0199_p0196b27┃　志於清白法　　欲求为沙门
T04n0199_p0196b28┃　我时不饮食　　萎卧於空地
T04n0199_p0196b29┃　假令不听我　　便当死於是
T04n0199_p0196c01┃　六日不饮食　　一心无所乐
T04n0199_p0196c02┃　志於清白法　　欲求为沙门
T04n0199_p0196c03┃　时亲厚知识　　往谓父母言
T04n0199_p0196c04┃　善哉听之去　　用死人身为
T04n0199_p0196c05┃　假令能乐者　　为沙门续在
T04n0199_p0196c06┃　命存可数见　　死者当奈何
T04n0199_p0196c07┃　时父母知识　　共出悲好音
T04n0199_p0196c08┃　设使作沙门　　来见我当听
T04n0199_p0196c09┃　时亲厚知识　　便往谓之言
T04n0199_p0196c10┃　父母已听汝　　明者为沙门
T04n0199_p0196c11┃　父母共结约　　假使为沙门
T04n0199_p0196c12┃　数来相见者　　子听汝出家
T04n0199_p0196c13┃　彼闻善哉言　　自养有势力
T04n0199_p0196c14┃　往诣世尊所　　便前白佛言
T04n0199_p0196c15┃　唯然已听我　　便受佛尊教
T04n0199_p0196c16┃　世尊下我发　　令我作沙门
T04n0199_p0196c17┃　施承露盘故　　受安甚众多
T04n0199_p0196c18┃　於天上世间　　功德自然见
T04n0199_p0196c19┃　佛普见说我　　乐闲居第一
T04n0199_p0196c20┃　已得阿罗汉　　清凉而灭度
T04n0199_p0196c21┃　是故当欢喜　　悦心向大哀
T04n0199_p0196c22┃　当供养塔寺　　得脱大恐惧
T04n0199_p0196c23┃　赖吒和大尊　　闲居五纳衣
T04n0199_p0196c24┃　於阿耨达池　　自说本所作
T04n0199_p0196c25┃　　货提品第十九(二十七偈)
T04n0199_p0196c26┃　曾在王舍城　　为富大尊者
T04n0199_p0196c27┃　有五百道士　　住我家一年
T04n0199_p0196c28┃　五百诸长者　　一切皆往诣
T04n0199_p0196c29┃　彼时诸道人　　各就一家食
T04n0199_p0197a01┃　譬如我等故　　家中所炊食
T04n0199_p0197a02┃　一一诸比丘　　供养亦如是
T04n0199_p0197a03┃　听年长道士　　彼分与长者
T04n0199_p0197a04┃　无上尊道人　　其心念如是
T04n0199_p0197a05┃　饭食五百人　　豆羹以灌上
T04n0199_p0197a06┃　我所作供具　　饲比丘如是
T04n0199_p0197a07┃　如是连二日　　布施彼比丘
T04n0199_p0197a08┃　我时辄兴意　　贪嫉恶心意
T04n0199_p0197a09┃　尚难饲我子　　妇女及姊妹
T04n0199_p0197a10┃　兄弟诸亲属　　是饭食供养
T04n0199_p0197a11┃　何况此比丘　　当供养三月
T04n0199_p0197a12┃　供养五百人　　大减损我家
T04n0199_p0197a13┃　我欲令比丘　　作方便令死
T04n0199_p0197a14┃　假使命过者　　不损用我物
T04n0199_p0197a15┃　心自念恶已　　马通糅饭中
T04n0199_p0197a16┃　持用饭食之　　谓杀无所苦
T04n0199_p0197a17┃　噉此饭食已　　得病甚困厄
T04n0199_p0197a18┃　结刮其肠胃　　伤绝於五脏
T04n0199_p0197a19┃　乐法得道人　　则为已命过
T04n0199_p0197a20┃　诸天及鬼神　　俱共发声言
T04n0199_p0197a21┃　是长者大恶　　伤害杀道人
T04n0199_p0197a22┃　缘一觉之尊　　清凉无所漏
T04n0199_p0197a23┃　我闻知所语　　思念苦恼愁
T04n0199_p0197a24┃　我等罪无量　　坐害善道人
T04n0199_p0197a25┃　亲属闻是言　　悉共愁忧念
T04n0199_p0197a26┃　皆会诸道人　　对悔过自首
T04n0199_p0197a27┃　归命诸道人　　悔过自首已
T04n0199_p0197a28┃　请五百道人　　供养以饭食
T04n0199_p0197a29┃　重悔过自首　　归命众道人
T04n0199_p0197b01┃　供养饭食已　　心自发愿言
T04n0199_p0197b02┃　令我与是等　　诸尊者合会
T04n0199_p0197b03┃　如是等得度　　我心脱如是
T04n0199_p0197b04┃　世世所生处　　勿令在贫穷
T04n0199_p0197b05┃　莫令我兴起　　贪嫉恶心意
T04n0199_p0197b06┃　害辟支佛已　　犯是恶罪殃
T04n0199_p0197b07┃　於彼寿终已　　堕太山地狱
T04n0199_p0197b08┃　苦痛无数千　　懊恼不可言
T04n0199_p0197b09┃　来还得人身　　短命速疾过
T04n0199_p0197b10┃　所在得势富　　众人所供养
T04n0199_p0197b11┃　肠胃每燋烂　　然後乃命过
T04n0199_p0197b12┃　弃捐家居去　　沙门无所慕
T04n0199_p0197b13┃　精进修佛教　　断除一切欲
T04n0199_p0197b14┃　假令我舍身　　向般泥洹时
T04n0199_p0197b15┃　诸肠胃五脏　　各各崩坏烂
T04n0199_p0197b16┃　我所作过恶　　恶意害比丘
T04n0199_p0197b17┃　所作余罪殃　　最後当毕了
T04n0199_p0197b18┃　我身所起恶　　及所行善行
T04n0199_p0197b19┃　悉还受果实　　善恶俱前获
T04n0199_p0197b20┃　舍卫城里生　　茶提大神足
T04n0199_p0197b21┃　於阿耨达池　　自说本所作
T04n0199_p0197b22┃　　禅承迦叶品第二十(十一偈)
T04n0199_p0197b23┃　有诸比丘僧　　终竟于七岁
T04n0199_p0197b24┃　时国谷米贵　　饥饿大恐惧
T04n0199_p0197b25┃　我分得一人　　摩竭妙道人
T04n0199_p0197b26┃　缘一觉之尊　　清凉无有漏
T04n0199_p0197b27┃　彼时我兴发　　起意之为恶
T04n0199_p0197b28┃　我当持何用　　施饲是比丘
T04n0199_p0197b29┃　时停置饭食　　令生虫臭恶
T04n0199_p0197c01┃　往观诸作使　　然後供养之
T04n0199_p0197c02┃　以是所作罪　　寿终堕地狱
T04n0199_p0197c03┃　合会烧炙之　　苦痛不可言
T04n0199_p0197c04┃　从地狱得出　　世世所生处
T04n0199_p0197c05┃　作若干方便　　求饭食难得
T04n0199_p0197c06┃　是为最後世　　来还生人间
T04n0199_p0197c07┃　逮见等正觉　　无上之导师
T04n0199_p0197c08┃　以信故出家　　除害诸漏尽
T04n0199_p0197c09┃　已得无所著　　清凉而灭度
T04n0199_p0197c10┃　仁者吾於是　　神足常自在
T04n0199_p0197c11┃　求食设方便　　若干不能得
T04n0199_p0197c12┃　远行避道路　　疲劳不可言
T04n0199_p0197c13┃　既乃得所侥　　饭食诸供具
T04n0199_p0197c14┃　承伽迦叶尊　　大通名所作
T04n0199_p0197c15┃　於阿耨达池　　自说本所作
T04n0199_p0197c16┃　　朱利般特品第二十一(八偈)
T04n0199_p0197c17┃　昔我先世时　　曾为养猪者
T04n0199_p0197c18┃　在於江水傍　　系[打-丁+絜]众猪口
T04n0199_p0197c19┃　欲济至江半　　身独由得渡
T04n0199_p0197c20┃　猪不得喘息　　中流皆溺死
T04n0199_p0197c21┃　尔时我治生　　亡遗无所依
T04n0199_p0197c22┃　仙人来至彼　　从顶有慈哀
T04n0199_p0197c23┃　便劝教化我　　剃除吾须发
T04n0199_p0197c24┃　解喻诲善律　　行无相三昧
T04n0199_p0197c25┃　於彼寿终後　　便得生天上
T04n0199_p0197c26┃　天寿复竟尽　　即还为道人
T04n0199_p0197c27┃　逮见等正觉　　舍家为寂志
T04n0199_p0197c28┃　所在意曚暝　　受经寻辄忘
T04n0199_p0197c29┃　我讽学一偈　　三月乃谙知
T04n0199_p0198a01┃　习读诵四句　　断绝诸爱欲
T04n0199_p0198a02┃　世尊时问之　　朱利般特说
T04n0199_p0198a03┃　从来善恶事　　於阿耨达池
T04n0199_p0198a04┃　　醍醐施品第二十二(二十七偈)
T04n0199_p0198a05┃　迦叶佛灭度　　我为後弟子
T04n0199_p0198a06┃　博闻知三世　　常秘惜经法
T04n0199_p0198a07┃　不为比丘说　　不肯示与人
T04n0199_p0198a08┃　傥余乞本知　　便当与我等
T04n0199_p0198a09┃　设有比丘来　　至我所问事
T04n0199_p0198a10┃　吾则欺诈之　　不解意结恨
T04n0199_p0198a11┃　众道人恚还　　忧恚骂詈言
T04n0199_p0198a12┃　何嫉不说法　　仁者岂为往
T04n0199_p0198a13┃　临欲寿终时　　心即自悔责
T04n0199_p0198a14┃　未曾讲论法　　是为大不善
T04n0199_p0198a15┃　自知寿向尽　　余过有七日
T04n0199_p0198a16┃　聚会众僧类　　应时为说法
T04n0199_p0198a17┃　昼夜讲诸要　　蠲除贪嫉妒
T04n0199_p0198a18┃　说法未竟毕　　於彼便命过
T04n0199_p0198a19┃　如我所分别　　闻者极妙快
T04n0199_p0198a20┃　受教思惟义　　展转相劝化
T04n0199_p0198a21┃　所说法尟少　　聚会人七日
T04n0199_p0198a22┃　用是得生天　　天伎以自娱
T04n0199_p0198a23┃　天上寿终下　　来还受人身
T04n0199_p0198a24┃　在迦惟罗卫　　生释国王家
T04n0199_p0198a25┃　端正见者敬　　为众所爱乐
T04n0199_p0198a26┃　大财无极宝　　普以度无极
T04n0199_p0198a27┃　见诸族姓子　　来者皆弃家
T04n0199_p0198a28┃　我羡为寂志　　捐家爱欲财
T04n0199_p0198a29┃　世尊无等人　　慈念愍哀我
T04n0199_p0198b01┃　屡数率励我　　劝导令出家
T04n0199_p0198b02┃　吾便敬遵佛　　无上之喜教
T04n0199_p0198b03┃　唯仁者我身　　七年行布施
T04n0199_p0198b04┃　於是惠与已　　终竟于七岁
T04n0199_p0198b05┃　然後作寂志　　受胜智慧诲
T04n0199_p0198b06┃　七年为长久　　人命为甚短
T04n0199_p0198b07┃　今日便布施　　谁能保身命
T04n0199_p0198b08┃　用尊是往故　　即时作寂志
T04n0199_p0198b09┃　唯仁我七日　　出家除须发
T04n0199_p0198b10┃　信故为沙门　　修行佛法身
T04n0199_p0198b11┃　二十五岁中　　寂定心如水
T04n0199_p0198b12┃　於是弊恶道　　起念著家事
T04n0199_p0198b13┃　奉行捐损业　　亦不用甘露
T04n0199_p0198b14┃　於彼甚惭愧　　发求无极利
T04n0199_p0198b15┃　毁辱于亲属　　悉当见仇憎
T04n0199_p0198b16┃　作是为不可　　亦不所侥恨
T04n0199_p0198b17┃　已出志守寂　　岂复返怀居
T04n0199_p0198b18┃　兴家种姓意　　财利之所欲
T04n0199_p0198b19┃　当能断斯著　　终不舍离戒
T04n0199_p0198b20┃　宁令我身没　　其寿所憎恶
T04n0199_p0198b21┃　我当捉大刀　　安用此命为
T04n0199_p0198b22┃　便执利刀剑　　除割所因缘
T04n0199_p0198b23┃　刈截垢浊已　　然後心解脱
T04n0199_p0198b24┃　一心便解度　　稍数令人寂
T04n0199_p0198b25┃　我於慈果实　　速值法光明
T04n0199_p0198b26┃　我寿向终时　　讲说尊妙法
T04n0199_p0198b27┃　缘是所可行　　定意度无极
T04n0199_p0198b28┃　释子大神足　　弱根萨波达
T04n0199_p0198b29┃　於阿耨达池　　自说本所作
T04n0199_p0198c01┃　　阿那律品第二十三(无猎九偈)
T04n0199_p0198c02┃　昔我曾不食　　彼世时施与
T04n0199_p0198c03┃　遭遇见沙门　　大通和莅吒
T04n0199_p0198c04┃　以故生释种　　号曰阿那律
T04n0199_p0198c05┃　功德自娱乐　　俳伎之所娱
T04n0199_p0198c06┃　时见等正觉　　即喜慕世尊
T04n0199_p0198c07┃　睹之心踊跃　　舍家为寂志
T04n0199_p0198c08┃　宿世行精进　　方便常坚疆
T04n0199_p0198c09┃　已脱三达智　　具足如佛教
T04n0199_p0198c10┃　自识本宿命　　造行所更历
T04n0199_p0198c11┃　於忉利天上　　积七世在彼
T04n0199_p0198c12┃　七返还人间　　人间转势尊
T04n0199_p0198c13┃　富贵君子家　　金珠宝自然
T04n0199_p0198c14┃　於是七彼七　　生死凡十四
T04n0199_p0198c15┃　本悉识知之　　前世之所行
T04n0199_p0198c16┃　如是所与果　　曾无悭嫉意
T04n0199_p0198c17┃　世世所生处　　常求不生死
T04n0199_p0198c18┃　时尊阿那律　　处于众僧中
T04n0199_p0198c19┃　於阿耨达池　　自说本所作
T04n0199_p0198c20┃　　弥迦弗品第二十四(鹿子十四偈)
T04n0199_p0198c21┃　昔我逐勇狗　　往诣药肆上
T04n0199_p0198c22┃　缘一觉之尊　　身体得不豫
T04n0199_p0198c23┃　给之以医药　　瞻养至七日
T04n0199_p0198c24┃　尊人过七日　　便飞升虚空
T04n0199_p0198c25┃　我时见告语　　家之仆童客
T04n0199_p0198c26┃　众佑已来臻　　如是出家学
T04n0199_p0198c27┃　我闻仆所说　　辟支佛飞行
T04n0199_p0198c28┃　其志踊跃喜　　一意叉手向
T04n0199_p0198c29┃　缘是喜悦意　　布施医药故
T04n0199_p0199a01┃　在天上人间　　功德自然见
T04n0199_p0199a02┃　於今最後世　　复还得人身
T04n0199_p0199a03┃　值见等正觉　　导师无有上
T04n0199_p0199a04┃　於释师子所　　出家为寂志
T04n0199_p0199a05┃　已得无所著　　清凉而灭度
T04n0199_p0199a06┃　於昔吾於是　　得供甚众多
T04n0199_p0199a07┃　衣被及饮食　　床卧所安具
T04n0199_p0199a08┃　为其缝衣服　　从施医药故
T04n0199_p0199a09┃　四方给诸药　　所安无所乏
T04n0199_p0199a10┃　天人往告语　　蓱沙之国王
T04n0199_p0199a11┃　卿当以医药　　施与弥迦弗
T04n0199_p0199a12┃　仁国当兴利　　众药大炽盛
T04n0199_p0199a13┃　遣耆域医王　　擎药与鹿子
T04n0199_p0199a14┃　四面医药来　　皆悉归趣我
T04n0199_p0199a15┃　彼时王蓱沙　　施遣大神通
T04n0199_p0199a16┃　於是来授我　　具足柔软堂
T04n0199_p0199a17┃　悉遍比丘僧　　千二百五十
T04n0199_p0199a18┃　其鹿子比丘　　六通大神足
T04n0199_p0199a19┃　於阿耨达池　　自说本所作
T04n0199_p0199a20┃　　罗云品第二十五(十偈)
T04n0199_p0199a21┃　我昔曾为王　　典主摩竭国
T04n0199_p0199a22┃　人民甚众多　　决事以义理
T04n0199_p0199a23┃　尔时有仙人　　饮他沟中水
T04n0199_p0199a24┃　即来诣我所　　前语我如是
T04n0199_p0199a25┃　大王我为贼　　乏饮不与水
T04n0199_p0199a26┃　便当谪罚我　　如拷盗窃者
T04n0199_p0199a27┃　我时即报言　　仙人持法药
T04n0199_p0199a28┃　我恣听仁者　　便去随其欲
T04n0199_p0199a29┃　大王我狐疑　　咎结不得除
T04n0199_p0199b01┃　便当谪罚我　　今乃消殃罪
T04n0199_p0199b02┃　即敕著後园　　忘之至六日
T04n0199_p0199b03┃　过六日已後　　亦不得饮食
T04n0199_p0199b04┃　坐是因缘故　　未曾有恶意
T04n0199_p0199b05┃　堕烧炙黑绳　　更历六万岁
T04n0199_p0199b06┃　毕是有余殃　　於今最後生
T04n0199_p0199b07┃　处在母腹中　　六年乃得生
T04n0199_p0199b08┃　未曾起乱意　　身口不犯罪
T04n0199_p0199b09┃　乃值得果实　　罪福不可离
T04n0199_p0199b10┃　如是罗云尊　　在於比丘僧
T04n0199_p0199b11┃　於阿耨达池　　自说本所作
T04n0199_p0199b12┃　　难提品第二十六(十四偈)
T04n0199_p0199b13┃　昔惟卫佛世　　我施暖浴室
T04n0199_p0199b14┃　一洗比丘僧　　便自发愿言
T04n0199_p0199b15┃　令我与是等　　尊众共集会
T04n0199_p0199b16┃　世世得清凉　　离欲无垢尘
T04n0199_p0199b17┃　端正常徐好　　清净若妙花
T04n0199_p0199b18┃　於彼寿终後　　便得生天上
T04n0199_p0199b19┃　在天上人间　　颜色好端正
T04n0199_p0199b20┃　世世所生处　　所住大势尊
T04n0199_p0199b21┃　於彼寿终後　　来还生人间
T04n0199_p0199b22┃　诸天及人民　　见我无厌足
T04n0199_p0199b23┃　见辟支佛塔　　缮治泥整顿
T04n0199_p0199b24┃　圣饰令鲜白　　於上悬幡盖
T04n0199_p0199b25┃　我时自发愿　　欲求得相好
T04n0199_p0199b26┃　金体紫磨色　　端严无有比
T04n0199_p0199b27┃　因是所作福　　生波罗奈国
T04n0199_p0199b28┃　於脂惟尼生　　作子无恚害
T04n0199_p0199b29┃　见迦叶佛塔　　其心为欢喜
T04n0199_p0199c01┃　辄诣其寺中　　竖立承露盘
T04n0199_p0199c02┃　用是施塔故　　及治圣饰塔
T04n0199_p0199c03┃　兴建刹柱盘　　受福不可量
T04n0199_p0199c04┃　从彼有余福　　於是最後世
T04n0199_p0199c05┃　生释氏王家　　便为佛之弟
T04n0199_p0199c06┃　我身自然有　　大人之相好
T04n0199_p0199c07┃　庄严成罗羼　　平等布三十
T04n0199_p0199c08┃　佛普见说我　　端正最第一
T04n0199_p0199c09┃　已除尽诸漏　　逮得甘露句
T04n0199_p0199c10┃　难提父母子　　於比丘僧中
T04n0199_p0199c11┃　於阿耨达池　　自说本所作
T04n0199_p0199c12┃　　[台-台+犮]提品第二十七(十九偈)
T04n0199_p0199c13┃　昔世谷米贵　　饥饿大恐惧
T04n0199_p0199c14┃　比丘有五百　　求食则施与
T04n0199_p0199c15┃　一切诸长者　　惠施众道术
T04n0199_p0199c16┃　分卫得饭食　　便持来授我
T04n0199_p0199c17┃　虽得粗细食　　常分以与身
T04n0199_p0199c18┃　亦不能知我　　每随用我语
T04n0199_p0199c19┃　诸人民来趣　　行求饭食具
T04n0199_p0199c20┃　我尔时自力　　从彼便出去
T04n0199_p0199c21┃　是时各驰走　　孚远相求索
T04n0199_p0199c22┃　尽力从後追　　不能及逮我
T04n0199_p0199c23┃　即渡於流河　　便却坐一面
T04n0199_p0199c24┃　周匝四向视　　得静无来人
T04n0199_p0199c25┃　我今日独食　　柔软美且香
T04n0199_p0199c26┃　饱满意盈足　　终慕获安隐
T04n0199_p0199c27┃　於是有比丘　　则缘觉世尊
T04n0199_p0199c28┃　威神大巍巍　　生死除无余
T04n0199_p0199c29┃　意虑常念言　　穷贱甚苦剧
T04n0199_p0200a01┃　本不修功德　　是故令我贫
T04n0199_p0200a02┃　即兴清净心　　欢踊意念言
T04n0199_p0200a03┃　当施与比丘　　是本众佑者
T04n0199_p0200a04┃　时世尊便受　　则於彼饭食
T04n0199_p0200a05┃　用怜愍伤我　　便飞在虚空
